dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
abortion,3,ab160,The mother pays someone to kill it.,"The woman took the risk that she might get pregnant. If she did not want a baby she should not have had sex, or done something to prevent it like sterilization",0.1579,Abortion kills a life.,Con,"She has a right to unhook herself...but she is not slaughtering the child. The child might die might not....nature takes it course.  The fetus in the womb is not dying on its own its fine. The mother pays someone to kill it. This is totally different.   So since you are pro-abortion....I assume you are pro-abortion since you do give the woman the right it is her body.....to kill it even after nine months.  Got one for ya. The woman is in scheduled for a csection in one week. She gets scared and decides that she does not want the baby. Is perfectly acceptable for her to kill it at nine months?  The woman took the risk that she might get pregnant. If she did not want a baby she should not have had sex, or done something to prevent it like sterilization.   And for your information the baby is not part of the mother. It has its own DNA, bodily systems, heart, circulatory system, fingerprints. If the baby is part of the mother....do you think that she should be able to kill it after its born?",1002
abortion,3,ab351,Why should it matter to you if a person does that? That's awfully nosey and judgmental.,"I think it should ultimately stay legal, but should be a lot more restricted",0.129,Abortion is a woman’s right.,Pro,"I'm very against abortion, but I'm not stupid; I know there are times where it is a necessity. I think it should ultimately stay legal, but should be a lot more restricted. I don't see anything good from a 25-year-old going in and getting an abortion because she just doesn't want the baby.     Why should it matter to you if a person does that? That's awfully nosey and judgmental.",382
abortion,3,ab161,"Even if you somehow managed make it illegal, guess what, there would still be just as many abortions.  The only difference is that they will get abortions in dirty basements like they did before it was legal, and more mothers would die.","2. If you don't want an abortion,  you  don't have to get one.",0.1404,Abortion is a woman’s right.,Pro,"I take it from that statement then that you are also against capital punishment, and for Universal Healthcare.  Christians are such hypocrites, I seriously dislike you people.  1. It has no more feelings or emotions than this keypad I'm typing on until the 3rd trimester, and then about as much feeling and emotion as a grasshopper.  2. If you don't want an abortion,  you  don't have to get one. Why every Jesus Cannibal thinks they have to dictate everyone else's life is a mystery to me.  3. Even if you somehow managed make it illegal, guess what, there would still be just as many abortions.  The only difference is that they will get abortions in dirty basements like they did before it was legal, and more mothers would die.  So ""Pro-Life"" would actually end up costing more life.  Congratulations, way to kill a bunch of young mothers Edward. Jesus isn't going to give you a cookie now.",894
abortion,5,ab392,if abortion was not possible at all meaning whether illegal or not just not physically possible then i bet a lot of the women who desperately need them would kill themselves.,,0.0,Abortion is a woman’s right.,Pro,"if abortion was illegal it would still occur. it would be dangerous to the mother as well. it was legallised in england out of pity for the women who felt they had to resort to it, to protect their well being and the rest. it should stay legal, it will always be something that happens. some women perform self abortions with metal clothing hangers and end up dead. if abortion was not possible at all meaning whether illegal or not just not physically possible then i bet a lot of the women who desperately need them would kill themselves.",540
abortion,4,ab159,"Conversely, when a woman chooses to abort the fetus, she is simply  dis allowing the fetus to continue living within her.","The fetus, within the first trimester, is not a person.",0.1935,Abortion is not murder.,Pro,"It may not have any great capacity for intelligent thoughts or feelings, but neither do newborns.   Bullshit. Try pricking a newborn with a needle and see if it has feelings, won't you?   But in the case of abortion, this right does not apply because it does not only pertain to the woman's body, but the body of another human being still attached to her.   No, you're wrong here. The fetus is considered a parasite. According to the OED, the scientific definition of a parasite is ""An animal or plant which lives in or upon another organism (technically called its host) and  draws its nutriment directly from it . Also extended to animals or plants that live as tenants of others, but not at their expense (strictly called commensal or symbiotic); also to those which depend on others in various ways for sustenance, as the cuckoo, the skua-gull, etc."" (Emphasis my own)  All a woman does to continue with the pregnancy is to allow the fetus to live within her and draw nutrients from her. Conversely, when a woman chooses to abort the fetus, she is simply  dis allowing the fetus to continue living within her.   No one should have the right to kill innocent people.   The fetus, within the first trimester, is not a person.",1227
abortion,5,ab128,Abortion is safer than childbirth   HA! In the same way that murder is safer than living,Aborting an unwanted fetus reduces the number of abused children,0.1538,Abortion kills a life.,Con,"A fetus is NOT a human, just a massï»¿ of tissue   By that definition, so you are you. So am I.   Abortion is safer than childbirth   HA! In the same way that murder is safer than living.   The number of abortions are relatively small   The number of murders are relatively small. Should we no legalize murder, rape, and theft?   Nobody has the right to impose their morals on others   Then why do we have laws against murder? child rape? torture? assault? grand larceny? etc.?   A woman should be able to control her own body   To say that a fetus is merely an extension of its parent needs some substantiation.   Abortion must be kept legal, especially for all the rape and incest pregnancies   Fair enough.   If abortion is outlawed women will be forced to go to back-alley abortion clinics   Should this have a bearing on its endorsement as legal by the state?   Aborting an unwanted fetus reduces the number of abused children   HA! In the same way that mass genocide prevents accidental deaths.",1000
abortion,4,ab381,suffering children,"A child is a lot of work, and if you don't want the child then you both suffer for the next eighteen years.",0.0769,Unwanted babies are ill-treated by parents and/or not always adopted.,Pro,"Abortion is a way to prevent more poor families, suffering children, and used as back up when birth control fails.  I don't think anyone who used protection in sex should be saddled with a child. A child is a lot of work, and if you don't want the child then you both suffer for the next eighteen years.",303
abortion,5,ab292,birth is a distinct and unambiguous process separating the foetus from the newborn,"If you believe a human life starts at conception, how is death right for even a child of rape?",0.125,"A fetus is not a human yet, so it's okay to abort.",Pro,"You do not get the point.  Laws are mutable...subject to change...and it varies...region to region...state to state...nation to nation.  Thus you cannot cite law to support an argument that is based on ethical considerations.  So yes if it pleases you let us assume I am Irish..or from a country that makes elective abortion illegal.   If the law changes, it still doesn't change that birth is a distinct and unambiguous process separating the foetus from the newborn (also, I am aware of cesarean section, I still consider this birthing).  In other words, law is simply an auxiliary, convenient bit.   So Apples mate with other Apples then?....please your association is strained to say the least.   Apples provide seeds which are post-pollination. Besides that in biology there is asexual reproduction, which precludes the necessity for mating.   You cite various sources describing metabolic processes in fruit.  You are being disingenious..   No, I am acknowledging that apples are composed of living cells. Living cells take in and excrete waste.   We both know that Apples are not classified as living organisms...as they have the same genome in their cells that contain DNA as the tree or bush they are attached to...they are fruits...not organisms.   Plant cells are alive, by the standard definition. In theory you should be able to asexually propagate apple cells, too, and grow new trees. I have never done this, however, but as I understand it you convert the plant cell into a protoplast and place it in a regulated growth medium, like agar. The main difficulty I believe would be reversing the cellular differentiation so that the cell may show pluripotence.   Eat a fruit and you kill nothing.   Except millions of innocent plant cells. Who will defend them? They are defenseless! Oh the humanity of it all!   I shall cite a reference for you...   Apples are not fruit according to the purely strict definition you provided, they are accessory fruits.   You seem to be a bit confused about the differences between fruit and living multi cellular organisms with their own unique genome and conformity with the biological necessities to be declared living multicellular organisms.   You keep throwing around that word ""unique"" as if it is a prerequisite to life that it have a unique genome. Bananas are asexually propagated, they bear no seeds, so they share the same genome for all members of a cultivar.",2419
abortion,5,ab394,"Abortion if it's a fetus, murder if it's not. It's cool how there's two different names for that, isn't it? That's so we don't get them confused.","The argument for abortion is sometimes concerned with  personhood , not the presence of homo sapien DNA and you're getting the two confused.",0.1404,"A fetus is not a human yet, so it's okay to abort.",Pro,"What could we show that you would find acceptable as the picture of abortion.   Pretending pro-life people care about scientific fact is bullshit. Not that it's impossible to be scientifically honest and still be pro-life, but so many outspoken pro-life people and groups who have no problem using misinformation, emotional blackmail, intimidation and deceit to manipulate people into doing what pro-life thinks is right. Pro-choice people don't have to lie, because they don't care if no one chooses an abortion as long as they aren't being lied to or bullied. In fact, I think you'd find most pro-choice people would agree that the fewer people need/want abortions, the better. But being dishonest or cruel is not the way to go about making that happen.   Why are D&E;illustrations so commonly used for pro-life propaganda when D&E;accounts for less than 5% of all procedures? Not because it's an honest representation of what most abortions look like, because it isn't. It's because it's supposed to be scarier and more guilt-inducing. If you show this picture to an average woman who is considering an abortion and tell her this is what her procedure will look like, you are probably lying to her.   (I'm not the one putting the semicolon after D&E;, the website is doing that.)   You want abortion legalâ¦on demand period.   You got it.    The fact is abortion is the act of KILLING A LIVING HUMAN BEING. THAT IS A SCIENTIFIC FACT. The heart starts beating around 22 daysâ¦..THAT IS A SCIENTIFIC FACT.   Please show me where I denied that a fetus is a human. Oh wait, I didn't, because I'm not an idiot. Of course a fetus is a human- did you expect me to claim it's a different species? The argument for abortion is sometimes concerned with  personhood , not the presence of homo sapien DNA and you're getting the two confused. But I think abortion would still be acceptable even if the government extended legal personhood to fetuses. One human should not use another human as a life support system unless the host is giving ongoing consent. This applies regardless of the age or legal status of either party or the relationship between the parties. If it's in your body and you don't want it there, you have a right to try to find someone who will take it out.   But tell meâ¦.what would you call killing a living human being without its permission.   Abortion if it's a fetus, murder if it's not. It's cool how there's two different names for that, isn't it? That's so we don't get them confused.    It does not matter what the procedure isâ¦it outcome is the same thing. Death to the unborn.   Oh shit, really?! Well then call me pro-life! Or don't, because I already knew that. Maybe say some more obvious things.    Those who are pro-abortion of course would not like this pic   I'm fine with it. It's not pretty but it's a fairly realistic representation of an uncommon medical procedure. Medical procedures generally are not pretty. It's the use of it to scare women who won't even be getting this procedure that I have a problem with.   Most doctors try to save lives. And abortionists kill lives.   More obvious things! If there is someone here who didn't realize abortion exterminates a living thing, I'm sure they'll thank you.",3248
abortion,1,ab370,once a certain time period has passed threw the pregnacny then it should not occur.,but why bring a child into the world that someone does not want. just for it to be put in an adoption home to spend the rest of its life knowing that mommmy and daddy didnt want them.,0.1132,An unborn baby is a human and has the right to live.,Con,abortion should be a womans choice. once a certain time period has passed threw the pregnacny then it should not occur. but why bring a child into the world that someone does not want. just for it to be put in an adoption home to spend the rest of its life knowing that mommmy and daddy didnt want them. in my opinion its way better to prevent the suffering & over population.,376
