dataset,split,id,gold,pred,rouge_score,argument,stance,comment,comment_length
abortion,4,ab401,destroying a fetus is murder,"If I proclaim that destroying a fetus is murder (which I believe it is), you'll call that argument ""full of idiocy.""",0.3704,Abortion kills a life.,Con,"Well, as far as I can tell, you haven't come up with any refutation to my argument, so why would I use anything else for my leading point? Isn't that the concept of a strong argument: one that can't be refuted (or at least, not easily refuted)? If I proclaim that destroying a fetus is murder (which I believe it is), you'll call that argument ""full of idiocy."" So far, you've come up with no refutations to my logic-based argument other than saying that ""there are far too many reasons for and against abortion for that to be your leading point.""",547
abortion,4,ab151,"If the mother wants an abortion bad enough she shall get the fetus out any way possible, but if it were illegal she would be going into dark alleys to get it done.","I believe that it is better off being legal, but moderated as well",0.087,Abortion is a woman’s right.,Pro,"Please not that this debate has nothing to do with the legality of abortion. I believe that it is better off being legal, but moderated as well. If the mother wants an abortion bad enough she shall get the fetus out any way possible, but if it were illegal she would be going into dark alleys to get it done.",308
abortion,1,ab381,used as back up when birth control fails.,Birth control fails at times and abortion is one way to deal with it.,0.2727,Birth control fails at times and abortion is one way to deal with it.,Pro,"Abortion is a way to prevent more poor families, suffering children, and used as back up when birth control fails.  I don't think anyone who used protection in sex should be saddled with a child. A child is a lot of work, and if you don't want the child then you both suffer for the next eighteen years.",303
abortion,1,ab68,"think of the number of children that would end up in care if abortion was banned. There are enough of them already, the banning of abortion would most definately increase this number,","I would imagine the girl would never really bond with her baby, and the child would have to grow up knowing of its conception and live with the knowledge that it was not wanted. Surely that is justification enough? That is not a life anyone would want, and surely aborting that baby in its early stages of development would be the better thing to do.  Also, think of the number of children that would end up in care if abortion was banned. There are enough of them already, the banning of abortion would most definately increase this number, and the more children in care, the lower the quality would become. Where would they get the money to look after so many children? Our taxes? It would get rediculous, and there would be a lot of children out there wishing they had never been born.",0.3636,Unwanted babies are ill-treated by parents and/or not always adopted.,Pro,"""I have simply seen no argument that comes close to proper justification for the taking the life of a innocent human being.""  So a thirteen year old girl gets raped, and you're saying that the govenrment have the right to force that girl to keep her unwanted baby? I would imagine the girl would never really bond with her baby, and the child would have to grow up knowing of its conception and live with the knowledge that it was not wanted. Surely that is justification enough? That is not a life anyone would want, and surely aborting that baby in its early stages of development would be the better thing to do.  Also, think of the number of children that would end up in care if abortion was banned. There are enough of them already, the banning of abortion would most definately increase this number, and the more children in care, the lower the quality would become. Where would they get the money to look after so many children? Our taxes? It would get rediculous, and there would be a lot of children out there wishing they had never been born.  I do realise that there are problems with abortion, for example, the amount of people who have unsafe sex because they know they can either take the morning after pill or have an abortion is rediculous. But, I'd like to know that if the contraception i was using didn't work and I fell pregnant through no fault of my own, I would be very happy that I have the option to have an abortion.   Also, when do you begin to class a fetus as a human? I personally would not think of it as a human untill about 12 weeks. It doesnt even enter the fetal stage untill the 11th week, surely abortion before this stage is not inhumane?   If there was a contraception out there that was 100% effective, then this would be a more valid arguement. I'm young, and have dreams and aspirations that I could never fulfill if I became pregnant. If contraception can't garrentee that i won't get pregnant, I definately want the choice to have an abortion if i needed one.   You're view seems to be very black and white, and you seem to dismiss the huge grey area that exists. Abortion exists for a reason and should not be banned",2162
abortion,4,ab138,"An apple is a fruit and is not a multi cellular organism, such as a human foetus.","An apple is a fruit and is not a multi cellular organism, such as a human foetus.   Apples are multicellular. They are communities of plant cells. They are living organisms.   I do not kill human foetuses everyday and that is what we are discussing..not apples or plums or oranges...LOL   I have as much emotion for a foetus dying as an apple or plum being consumed. They are on the same level of self-awareness (or lack thereof).",0.3542,"A fetus is not a human yet, so it's okay to abort.",Pro,"That is your subjective opinion, I on the other hand disagree.  I think my 'lesson' is entirely valid...personal responsibility is very important.   Then you are psychotic.   What law, of which nation?  Besides laws can be changed.   The United States.   An apple is a fruit and is not a multi cellular organism, such as a human foetus.   Apples are multicellular. They are communities of plant cells. They are living organisms.   I do not kill human foetuses everyday and that is what we are discussing..not apples or plums or oranges...LOL   I have as much emotion for a foetus dying as an apple or plum being consumed. They are on the same level of self-awareness (or lack thereof).",685
abortion,2,ab417,"that still wouldn't be an arument for outlawing abortion since that requires declaring that the mother has no legal right to control over her own body. That it is superceded by another ""person's"" right to use her body for their own preservation.",That is not a right that exists in our society.,0.1111,Abortion is a woman’s right.,Pro,"1. The defining characteristic of a person is sapience. You need thought. You need self awareness. And to get those things you need a functioning brain. Since there is no coherent brain activity in early fetal development until AT LEAST 22 weeks we are most certainly not dealing with anything we could meaingfully call a person prior to that time. And since something like 97% of all abortions occur in that window and any occuring after it are almost always for reasons of medical necessity that alone should end this discussion.  2. EVEN IF we insisted on calling a fetus a person before then. Hell, even if we called it a person from the second it was conceived even though calling a few undifferentiated cells a ""person"" is insane... that still wouldn't be an arument for outlawing abortion since that requires declaring that the mother has no legal right to control over her own body. That it is superceded by another ""person's"" right to use her body for their own preservation. That is not a right that exists in our society. That right is possessed by NOBODY, and for good reason. I sure as hell cannot commandeer your body against your will to preseve my life. Nobody can walk up to you and force you to have surgery to give up a peice of your liver or some bone marrow because I need it to survive and my ""right to life"" trumps your right to have final say on what happens to your body.   If we do that we define people as community property. Which is what outlawing abortion based on arguments that the mother   doesnt have the right to say   if her body gets used to carry a child to term would be doing. It's despicable.  There is no justification fr outlawing abortion. Regulating it, yes. Placing reaosnable restrictions on late-term occurances, yes. Outlawing? Absolutely not. It must be legal.",1810
abortion,3,ab162,The vast majority of women - 88% - who have an abortion do so in their first trimester.,Abortion is a safe medical procedure. The vast majority of women - 88% - who have an abortion do so in their first trimester. Medical abortions have less than 0.5% risk of serious complications and do not affect a woman's health or future ability to become pregnant or give birth.,0.4848,"A fetus is not a human yet, so it's okay to abort.",Pro,Abortion is a safe medical procedure. The vast majority of women - 88% - who have an abortion do so in their first trimester. Medical abortions have less than 0.5% risk of serious complications and do not affect a woman's health or future ability to become pregnant or give birth.,280
abortion,3,ab223,You seem to forget that rape is also never the fault of the  victim .,"Besides this rape is never the fault of the baby, so how does anyone have a right to kill it?   You seem to forget that rape is also never the fault of the  victim . With this being true, how can you deny the victim/mother-to-be the right to make choices concerning her own body if it is not her fault in the first place?",0.35,Rape victims need it to be legal.,Pro,"1. We are all just a cluster of cells. There are some people who are never self-aware due to mental diseases. There are some people who don't feel pain because of neurological disorders. This hardly disqualifies them from humanity.   Of course it doesn't disqualify them from being considered human. But it  does  mean that they are not persons, i.e. they do not possess the essential characteristics of personhood, which are rationality, autonomy and self-consciousness.   2. I agree that in life-or-death situations, the doctors have to make a call to save the mother or the baby. This is atypical, however, and only happens in about 2-3% of all cases.   But you haven't stated whether abortion, in such unfortunate circumstances, are right or wrong.   3. The issue is not whether or not people are forced to have abortions. The issue is whether or not abortion is murder. If abortion is murder, then we have a problem. We should not think the legalization of murder is ok just because no one is forcing us to murder others.   On the contrary, this  is  an issue of whether you would consider abortion as murder or not. Furthermore, you yourself seem to think that this issue is paramount to the debate since you went on to talk about the legalisation of murder and used that as an analogy.   4. This applies to murder, rape, theft, and every other crime. Of course it won't stop some people from doing it, but it will allow for law enforcement to punish for committing crimes. It will also help to educate youth on what is morally acceptable and what is morally horrid.   My question to you is: is abortion morally acceptable?   5. This issue is moot if a fetus is an individual human life. We shouldn't legalize murder to make it less hazardous to the murderer. Besides this rape is never the fault of the baby, so how does anyone have a right to kill it?   You seem to forget that rape is also never the fault of the  victim . With this being true, how can you deny the victim/mother-to-be the right to make choices concerning her own body if it is not her fault in the first place?",2087
gayRights,1,gr530,the sexual orientation does bare on one's moral standing.,I don't think  any  couples without good moral standards should adopt. That includes homosexuals. If it makes you feel any better that also includes a  whole lot  of straight people.   I believe the sexual orientation does bare on one's moral standing. Why am I a fool for thinking that?,0.3279,Gay people have problems and create social issues.,Con,I don't think  any  couples without good moral standards should adopt. That includes homosexuals. If it makes you feel any better that also includes a  whole lot  of straight people.   I believe the sexual orientation does bare on one's moral standing. Why am I a fool for thinking that?,287
gayRights,2,gr499,Why should they have to hide and you not?,"It is a pity you feel this way as I guess it is only going to become easier for Gay people to go about their lives as straight people do.   My last point on this farcical debate is that Homosexuals getting married in a civil ceremony and being viewed only legally should not enrage the religious. Religious people regard their marriage as a bond put together by their God as this is not the case of Homosexual marriage why would it matter, as they will be judged by whichever God the religious person is prescribing to, which should make them more comfortable with it as they should know that punishment will be served. I do not believe in any God or follow any religion therefore the comments I just made are purely an appeal to logic.",0.0552,Gay people should have the same rights as straight people.,Pro,"No it means that their morals can still be applied today.   Which ones are you referring to, the Greeks or the Romans?   Not many of these cultures did.    http://greek-history.suite101.com/ article.cfm/women_in_ancient_greece     http://www.buzzle.com/articles/ women-in-the-ancient-chinese- culture.html     Gay people shouldn't impose their way of life to normal people   Define a normal person, last I checked everyone was different and all people are too be treated as equals.   They can do what they want behind closed doors and maybe normal people can overlook   Is there homosexual people doing anything overtly sexual in front of you all the time? Why should they have to hide and you not?    But sitting their justifying their sinful acts is disgraceful and disgusting.   It is a pity you feel this way as I guess it is only going to become easier for Gay people to go about their lives as straight people do.   My last point on this farcical debate is that Homosexuals getting married in a civil ceremony and being viewed only legally should not enrage the religious. Religious people regard their marriage as a bond put together by their God as this is not the case of Homosexual marriage why would it matter, as they will be judged by whichever God the religious person is prescribing to, which should make them more comfortable with it as they should know that punishment will be served. I do not believe in any God or follow any religion therefore the comments I just made are purely an appeal to logic.",1518
